Titre,Lien Image Principale,description,Adresse,Téléphone,Accès,Site_Web,Emails_Officiels,Twitter,Facebook,LinkedIn,Meta_Title,Meta_Desc,Meta_Short,Serper_Title,Serper_Desc,SEO_Consistent,Date,Texte_Accueil_Officiel,Code_Postal,Departement,location,latitude,longitude
My Cowork : Espace de coworking à Paris (75002),https://www.leportagesalarial.com/wp-content/uploads/2017/08/mycowork-espace-coworking-75002-paris.jpg,"Situé en plein cœur de Paris, il est idéalement situé au croisement des Halles et du Sentier.","54 rue Greneta, 75002 Paris",01 85 09 08 29,Métro Sentier (ligne 3),http://mycowork.fr/,info@mycowork.fr,https://twitter.com/my_cowork,https://www.facebook.com/mycoworkparis,https://www.linkedin.com/company-beta/9461886/,My Cowork : Espace de coworking à Paris (75002) | Le Journal du portage salarial,"My Cowork est un espace de coworking situé quartier Montorgueil, dans le 2ème arrondissement de Paris. Voici sa description.",True,myCowork: Your coworking place in Paris Montorgueil & Beaubourg,"myCowork your coworking place in Paris : coworking, private offices, meeting rooms, events in Montorgueil or Beaubourg area.",False,2017-08-22T15:27:21+00:00,Français English myCowork Partageons nos bureaux et nos talents ACCUEIL EVENEMENTS – PRIVATISATIONS NOS SALLES DE REUNION BUREAUX PRIVES COWORKING DOMICILIATION D’ENTREPRISE – myCowork Montorgueil Les Halles ACTUS INFOS & CONTACT ESPACE DE COWORKING - PARIS MYCOWORK MONTORGUEIL - BEAUBOURG Réserver une salle Nos espaces de coworking parisiens vous accueillent dans une ambiance conviviale et un cadre chaleureux ! nos services : ESPACE DE PRIVATISATION Un lieu atypique pour tous vos évènements de ...,75002,75,"myCowork, 54, Rue Greneta, Quartier de Bonne-Nouvelle, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France",48.8655472,2.3479843
Le 10h10 : Espace de coworking à Paris (75003),https://www.leportagesalarial.com/wp-content/uploads/2017/07/le-10h10-espace-coworking-saint-martin-75003.jpg,"Cet espace beau et prometteur d’avenir, offre 2 salles de réunions sensuelles et colorées pour des brainstormings torrides et une salle indépendante de 60m² disposant d’une cuisine équipée, idéale pour les séminaires qui requièrent la confidentialité. Pour ceux qui voient les choses en grand, les 300m² du 10h10 St Martin sont entièrement privatisables et peuvent accueillir jusqu’à 100 personnes.","210 rue Saint-Martin, 75003 Paris",01 44 49 92 59,"Métro Etienne Marcel (Ligne 4), et Rambuteau (Ligne 11)",http://www.le10h10.com/fr/coworking-cafe/,contact@le10h10.com,https://twitter.com/le10h10,https://fr-fr.facebook.com/le10h10/,http://www.linkedin.com/groups?home=&gid=1803524&trk=anet_ug_hm,Le 10h10 : Espace de coworking à Paris (75003) | Le Journal du portage salarial,"Le 10h10 est un espace de coworking situé en plein cœur de Paris, à Saint-Martin, dans le 3ème arrondissement. Voici une description de ce café coworking.",True,"LE 10H10, Paris",Map · 19 rue de Clery. 75002 Paris. France · 01 42 33 74 01. Call Now · Hours. What time does Le 10h10 open? · Payment methods. Does Le 10h10 take credit cards?,False,2017-07-20T09:23:22+00:00,Site inaccessible ou blocage,75003,75,"210, Rue Saint-Martin, Quartier Sainte-Avoye, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France",48.8635514,2.3527513
Hubsy : Espace de coworking à Paris (75003),https://www.leportagesalarial.com/wp-content/uploads/2017/08/hubsy-espace-coworking-75003.jpg,Ce café cotravail décontracté vous permet de vous sentir comme chez vous et de bénéficier d’un endroit idéal pour travailler.,"41 Rue Réaumur, 75003 Paris",01 43 56 89 80,Métro Arts et Métiers (ligne 3),https://www.hubsy.fr/,contact@husby.fr,,https://www.facebook.com/hubsycafe/,https://www.linkedin.com/company-beta/10352151/,Hubsy : Espace de coworking à Paris (75003) | Le Journal du portage salarial,"Hubsy est un espace ""café et coworking"" situé en plein cœur de Paris, rue Réaumur, dans le 3ème arrondissement. Voici sa description.",True,Hubsy café & coworking - Paris,Nos cafés coworking sont situés au coeur de Paris. Ils sont accessibles sans réservation pour travailler seul ou à plusieurs. Les consommations et les snacks ...,False,2017-08-01T13:20:53+00:00,"Nos cafés coworkingConceptTarifs Réserver nos sallesAcheter notre caféBlog Vous aimez notre café de spécialité ? Bonne nouvelle ! Il est disponible à l'achat dans nos shops et en ligne ! Plus d’infos dans l'onglet ""Acheter notre café"" ou sur place auprès de nos baristas ! ☕️ Nos cafés coworkingConceptTarifsRéserver nos sallesAcheter notre caféBlog Bonne nouvelle ! Hubsy Saint-Lazare rouvre les samedis et dimanches à partir du 19 novembre 2022 ! Vous aimez notre café de spécialité ? Bonne nouvell...",75003,75,"41, Rue Réaumur, Quartier des Arts-et-Métiers, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France",48.8657517,2.3543081
The Office : Espace de coworking à Paris (75005),https://www.leportagesalarial.com/wp-content/uploads/2017/06/the-office.jpg,"The Office est un espace de coworking à Paris. Situé en plein cœur du quartier latin au sein d’un ancien atelier d’artiste de 180 m², il est entièrement aménagé sur deux niveaux.","19 rue Claude Bernard, 75 005 Paris",06 60 77 02 41,Métro Censier – Daubenton (Ligne 7) ou Port-Royal (RER B),https://www.theoffice-paris.com/,contact@theoffice-paris.com,,,http://www.linkedin.com/groups?home=&gid=1803524&trk=anet_ug_hm,The Office : Espace de coworking à Paris 5 | Le Journal du portage salarial,"The Office est un espace de coworking situé dans le 5ème arrondissement de Paris, en plein cœur du quartier latin.",True,The Office PARIS 75005 (@theofficeparis),"Vous cherchez vos futurs bureaux à Paris ? Des postes sont disponibles chez The Office (75005) ! N'attendez plus, venez prendre un café et visiter ! #coworking ...",False,2017-06-19T15:17:36+00:00,"Skip to content The Office Paris Homepage Contact Facing Romantic Challenges as a Path to Self-Growth Romantic relationships can bring immense joy, connection, and meaning to our lives. However, they can also challenge us in ways that no other experience can. The very closeness that makes love so fulfilling also exposes our insecurities, fears, and unresolved wounds. While it’s tempting to view these difficulties as signs that something is wrong, they can actually serve as powerful catalysts for...",75,75,"19, Rue Claude Bernard, Quartier du Val-de-Grâce, Paris 5e Arrondissement, Paris, Île-de-France, France métropolitaine, 75005, France",48.8391512,2.3486422
Mozaik Coworking : Espace de coworking à Paris (75009),https://www.leportagesalarial.com/wp-content/uploads/2017/07/mozaik-coworking-espace-coworking-paris-75009.jpg,"Mozaik, c’est 3 espaces de coworking dans les 8ème et 9ème arrondissements. Dans un esprit familial et flexible, Charles, photographe et Lucas, Directeur d’agence immobilière, ont décidé de créer des espaces synergiques, pour travailler comme pour rencontrer de nouvelles personnes, de nouveaux domaines dans un quartier vivant, attractif et parisien. Mozaik, c’est aussi une coloc à taille humaine où l’on trouve l’inspiration dans la découverte de nouvelles choses.","41 Rue de la Chaussée d’Antin, 75009 Paris",06 42 63 79 34,"Métro Chaussée d’Antin la Fayette (Lignes 7 et 9), Trinité d’Estienne d’Orves (Ligne 12), et Haussmann – Saint-Lazare (RER A, lignes 3, 9, 12, 13 et 14)",http://www.mozaik-coworking.com/,contact@mozaik-coworking.com,https://twitter.com/MozaikCoworking,https://www.facebook.com/MozaikCoworking,http://www.linkedin.com/groups?home=&gid=1803524&trk=anet_ug_hm,Mozaik Coworking : Espace de coworking à Paris (75009) | Le Journal du portage salarial,"Mozaik Coworking est un espace de coworking situé en plein cœur de Paris, dans le 9ème arrondissement. Voici une présentation de cet espace.",True,MOZAIK COWORKING | 3 espaces de coworking à Paris - 24/7,... de Paris dans le quartier du 9ème arrondissement... l'équipe de Mozaik vous attend ! Rue Bleue. 75009 Paris · Chaussée d'Antin. 75009 Paris · La Fayette. 75009 ...,True,2017-07-19T15:44:09+00:00,Nos espaces Chaussée d'Antin Rue bleue La Fayette Les Mozaikiens Nous contacter Mozaik Coworking ⚡️ Pionniers du coworking dans le 9è arrondissement de Paris ! Contactez‑nous au 06 42 63 79 34. Nos espaces 3 beaux espaces de coworking sont à votre disposition en plein centre de Paris dans le quartier du 9ème arrondissement... l'équipe de Mozaik vous attend ! Rue Bleue 75009 Paris Chaussée d'Antin 75009 Paris La Fayette 75009 Paris Je souhaite Coworker Réserver Visiter Mozaik Nos espaces Chaussée...,75009,75,"41, Rue de la Chaussée-d'Antin, Quartier de la Chaussée-d'Antin, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",48.8749731,2.3323202
BGE PaRIF : Espace de coworking à Paris (75011),https://www.leportagesalarial.com/wp-content/uploads/2017/08/bge-parif-espace-coworking.jpg,"BGE PaRIF est un espace de coworking agencé en plusieurs salles. Il est situé près de la Place de la République, dans le 11ème arrondissement de Paris. C’est un lieu idéal pour travailler dans le calme, faire des rencontres, réseauter et collaborer.","18 Rue du Faubourg du Temple, 75011 Paris",01 43 55 09 48,"Métro République (lignes 3, 5, 8, 9 et 11)",http://www.bge-parif.com/sites/bge/accueil/le-coworking.html,coworking@bge-parif.com,https://twitter.com/BGEPaRIF,https://www.facebook.com/bge.parif,https://www.linkedin.com/company-beta/5233172,BGE PaRIF : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"BGE PaRIF est un espace de coworking situé dans le 11ème arrondissement de Paris, tout près de la Place de la République. Voici sa description.",True,Bge Parif - Coworking Paris 11ème,"BGE PaRIF vous accueille dans ses espaces de coworking à deux pas de la Place de la République. Agencés en plusieurs petites salles, nos espaces vous permettent ...",False,2017-08-02T16:58:31+00:00,"BGE PaRIF – Premier réseau d'accompagnement à la création d'entreprise CONTACT AGENDA ESPACE PRESSE ESPACE ENTREPRENEUR NOUS REJOINDRE ! ACCUEIL NOUS SOMMES NOTRE HISTOIRE NOTRE LABEL QUALITÉ NOTRE ENGAGEMENT NOTRE PÉDAGOGIE LE RÉSEAU BGE NOS PARTENAIRES LE CONCOURS TALENTS DES CITÉS NOUS RENCONTRER LES ENTREPRENEURS BGE PaRIF PORTRAITS D’ENTREPRENEURS BGE CLUB, UNE COMMUNAUTÉ D’ENTREPRENEURS REPRISE D’ENTREPRISE ACTUALITÉS BLOG Recherche pour : Nous sommes Depuis 1979, BGE PaRIF soutient la cré...",75011,75,"Apollo Théâtre, 18, Rue du Faubourg du Temple, Quartier de la Folie-Méricourt, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France",48.8682932,2.3661301
Cool and Workers : Espace de coworking à Paris (75011),https://www.leportagesalarial.com/wp-content/uploads/2017/07/cool-and-workers-espace-coworking-paris-75011.jpg,"Situé à Bastille, en plein cœur de Paris, Cool and Workers est un espace de coworking qui met tout à votre disposition pour que vous veniez travailler (presque) les mains dans les poches.","30-34 rue du Chemin Vert 75011, Paris",01 80 88 48 28,Métro Voltaire (Ligne 9) et Bréguet-Sabin (Ligne 5).,https://www.coolandworkers.com/,contact@coolandworkers.com,,https://fr-fr.facebook.com/coolandworkers/,http://www.linkedin.com/groups?home=&gid=1803524&trk=anet_ug_hm,Cool and Workers : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"Cool and Workers est un espace de coworking situé à Bastille, dans le 11ème arrondissement de Paris. Voici sa présentation.",True,Cool & Workers | espace de coworking convivial,"Rejoignez la communauté Cool & Workers pour travailler dans un espace de coworking convivial à Paris. Profitez d'infrastructures modernes ... 2 rue du Dahomey, ...",False,2017-07-20T10:07:30+00:00,OFFRES Café Coworking Ouvert à tous ! Salles de réunion En toute intimité Bureaux privés Rejoignez nos résidents Événementiel Nos lieux juste pour vous LIEUX Chemin Vert Pour les hypsters Dahomey Comme à la maison Infos actus coworking tout notre savoir Avantages tout notre savoir Notre philosophie la vision cool & workers La communauté Nous rejoindre +33 1 40 33 40 05 CONTACT SERVICES Café Coworking Ouvert à tous ! Salles de réunion En toute intimité Bureaux privés Rejoignez nos résidents Événe...,75011,75,"Rue du Chemin Vert, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France",48.8592624,2.3753218
Greenspace Paris : Espace de coworking à Paris (75011),https://www.leportagesalarial.com/wp-content/uploads/2017/07/greenspace-paris-espace-coworking.jpg,"Greenspace Paris est un espace de coworking situé en plein cœur de Paris. Créé en 2010, il est l’un des premiers en France. Cet espace de 760 m² a récemment été agrandi et redécoré ! Greenspace Paris, c’est surtout une communauté de plus de 100 résidents (startups, freelances, agences) qui partagent leurs aventures entrepreneuriales.","28 rue du Chemin Vert, 75 011 Paris",01 43 38 14 51,"Métro Richard-Lenoir ou Bréguet-Sabin (Ligne 5), St-Ambroise (Ligne 9) ou Chemin Vert (Ligne 8)",http://greenspace-paris.com,contact@greenspace-paris.com,,https://www.facebook.com/Greenspace.Paris/,http://www.linkedin.com/groups?home=&gid=1803524&trk=anet_ug_hm,Greenspace Paris : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"Greenspace Paris est un espace de coworking paisible, situé dans le 11ème arrondissement de Paris.",True,1100m² d'espaces de travail indépendant Paris 11e,"45 db de tranquillité, bonnes ondes garanties et confort de travail maximal. Bienvenue dans le coworking le plus calme et accueillant de Paris !",False,2017-07-19T14:05:01+00:00,".navigation_fixed-wrapper[pepper=""scrolled""] .navigation_scroll-blur{ display:block; } [pepper=""tooltip-trigger""]:hover + .tarifs_tooltip-content { display:block; opacity:1; } blockquote::before{ content:'“'; } blockquote::after{ content:'”'; } select:focus { outline: none; } .generic_content-row:nth-child(even) > .generic_large-img { order: -1; } .button-color::before { content: ''; position: absolute; left: -100%; top: 0; width: 100%; height: 100%; background: var(--colors--black); transition:...",75,75,"L'agence RUP, 28, Rue du Chemin Vert, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France",48.8580268,2.3725547
Le Tank : Espace de coworking à Paris (75011),https://www.leportagesalarial.com/wp-content/uploads/2017/08/letank-espace-coworking-75011-paris.jpg,"Cet espace de 1000 m² réparti sur 6 étages offre notamment du Wi-Fi très haut débit, une bibliothèque collective, du café/thé gratuit à volonté, des salles de réunions, ou encore des événements organisés régulièrement.","22 bis rue des Taillandiers, 75011 Paris",01 43 14 71 23,Métro Bréguet-Sabin (ligne 5),https://letank.fr/,hello@letank.fr,https://twitter.com/LeTankParis,https://www.facebook.com/LeTankParis,http://www.linkedin.com/groups?home=&gid=1803524&trk=anet_ug_hm,Le Tank : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"Le Tank est un espace de coworking situé quartier Bastille, à Paris, dans le 11ème arrondissement. Il regroupe notamment des esprits créatifs du numérique.",True,"Le Tank - Coworking Paris 11 - Numérique, média, design ...","Ses briques abritent 5 étages, dont un espace de coworking, des salles d'événement et de design, un sous-sol avec des studios audio et vidéo, le tout coiffé par ...",False,2017-08-24T13:40:19+00:00,"Coworking Espaces privatisables Actualités Contact Un lieu créé par Spintank Notre société change Un lieu pour créer son futur. Numérique, environnement, média, idées, design. En savoir plus Bienvenue au Tank ! Depuis 2014, Le Tank est le lieu de ceux qui veulent entreprendre, innover, créer dans une société bousculée par le numérique. Pendant 6 ans au 22B rue des Taillandiers, Le Tank est aujourd’hui un espace de coworking installé dans un immeuble de 1700m2 au 32 rue Alexandre Dumas, dans le 1...",75011,75,"22 bis, Rue des Taillandiers, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France",48.8551698,2.3748803
PLANET COWORKING : Espace de coworking La Popina à Paris (75011),https://www.leportagesalarial.com/wp-content/uploads/2017/11/sans-titre-2-1024x684.jpg,,"119 rue du Chemin Vert, 75011 Paris",07 64 50 05 55,Métro Philippe Auguste (ligne 2),http://www.planet-coworking.com,hello@planet-coworking.com,,https://www.facebook.com/Teamplanetcoworking/,http://www.linkedin.com/groups?home=&gid=1803524&trk=anet_ug_hm,PLANET COWORKING : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"Planet coworking est un espace de coworking situé dans le 11ème arrondissement de Paris, métro Philippe Auguste. Voici sa description.",True,Rent Planet Coworking Popina Paris - Spacebase,Organize your meeting at Planet Coworking Popina in Paris | Book online in just 3 easy steps with no extra fees.,True,2017-11-10T15:57:36+00:00,Site inaccessible ou blocage,75011,75,"119, Rue du Chemin Vert, Quartier Saint-Ambroise, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France",48.8617718,2.3829754
